,name,gearbox,fuel,mfd_date,mileage,power,price
32,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2012-12,290675,125,8300
33,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2011,270000,125,6200
34,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Dyzelinas,2007-11,200000,103,4300
35,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2007-08,269000,77,2900
36,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2006-10,235000,103,2999
37,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2005-11,260000,103,2750
38,"Volkswagen Passat, 1.8 l., universalas",Mechaninė,Benzinas / dujos,2012-01,254771,118,6800
39,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2006,373000,103,1500
40,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Dyzelinas,2010-04,223550,81,4600
41,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2007-03,234152,103,4450
42,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Dyzelinas,2013-08,221000,77,6900
43,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2016-02,107000,110,13400
44,"Volkswagen Passat, 1.6 l., sedanas",Automatinė,Dyzelinas,2017-06,190000,88,11250
45,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2014-09,183900,103,9250
46,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2016-12,176000,140,12900
47,"Volkswagen Passat, universalas",Automatinė,Dyzelinas,2015-06,196600,110,12300
48,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2007-04,234500,125,2500
49,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2011-12,263000,130,6850
50,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2006-01,320000,103,1999
51,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2006-01,210000,103,3200
52,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2010-04,239950,125,5000
53,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-04,280436,103,2400
54,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Dyzelinas,2007-05,272000,103,3450
55,"Volkswagen Passat, 1.6 l., universalas",Automatinė,Dyzelinas,2013-09,203000,77,6500
56,"Volkswagen Passat, 2.5 l., universalas",Automatinė,Dyzelinas,2003,450000,132,900
57,"Volkswagen Passat, 1.9 l., vienatūris",Mechaninė,Dyzelinas,2010-07,200000,77,4200
58,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-08,249506,103,2450
59,"Volkswagen Passat, 1.4 l., universalas",Automatinė,Benzinas / dujos,2011-11,207000,110,5850
60,"Volkswagen Passat, 1.6 l., universalas",Automatinė,Benzinas,2007-01,191000,85,3500
61,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1999-12,250000,81,1000
62,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-11,254422,103,2299
63,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Benzinas,2002,243689,85,1900
64,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Benzinas,2002-03,251896,85,1900
65,"Volkswagen Passat, 3.2 l., sedanas",Automatinė,Benzinas,2006-10,362000,184,2299
66,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2001-06,362000,96,1199
67,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2011-09,231000,103,5200
68,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2003-11,262000,74,1299
69,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2010-12,253000,103,3999
70,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2007-02,300000,103,2650
71,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2013-06,205700,103,6800
72,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2016-12,212290,140,11900
73,"Volkswagen Passat, 2.5 l., sedanas",Automatinė,Dyzelinas,2002-03,226900,110,1650
74,"Volkswagen Passat, 1.4 l., universalas",Automatinė,Benzinas / dujos,2010-11,192000,110,3850
75,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2015-06,155900,140,14500
76,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Benzinas,2010-06,200705,147,4899
77,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2008-08,217000,125,1850
78,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-12,220000,125,2950
79,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2014-05,214000,103,9300
80,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Benzinas,2006-06,360000,110,1200
81,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2015-11,174000,110,10900
82,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Benzinas,2005-10,160707,110,3499
83,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Benzinas,2006-12,200000,110,2950
84,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2008-08,246000,103,3290
85,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2007-05,251300,77,2800
86,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-12,134232,103,2400
87,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2007-04,220234,77,2850
88,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-04,351000,103,2000
89,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2007-11,255000,125,1899
90,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1996-05,400000,66,250
91,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2010-11,240000,103,6500
92,"Volkswagen Passat, 1.8 l., sedanas",Automatinė,Benzinas,2017,56800,125,14900
93,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2011-11,300000,125,6700
94,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2001,352000,96,1550
95,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Dyzelinas,2015-09,171453,88,6900
96,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2000-07,213000,66,1350
97,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2011,234123,125,7700
98,"Volkswagen Passat, 1.4 l., universalas",Automatinė,Benzinas,2017-11,59961,92,16900
99,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2011-03,186300,103,6900
100,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2015-06,103930,140,14900
101,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2007,340467,103,2000
102,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2008-02,251000,77,3350
103,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2011,456767,103,6000
104,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2009-10,223000,103,4450
105,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2003,279370,96,1550
106,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2007-09,244000,103,4000
107,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2007-09,264000,103,2650
108,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Benzinas,2007-07,258000,110,1150
109,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2019-04,5001,110,27700
110,"Volkswagen Passat, 1.5 l., sedanas",Automatinė,Benzinas,2020,12,110,26200
111,"Volkswagen Passat, 1.9 l., universalas",Automatinė,Dyzelinas,2005-03,291000,96,1950
112,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2015-12,183000,110,9750
113,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1999,333000,81,1100
114,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-08,245000,103,2850
115,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2009,190000,103,4250
116,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2015-04,227000,140,10600
117,"Volkswagen Passat, 1.6 l., universalas",Automatinė,Dyzelinas,2015-02,226800,88,11300
118,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2016-11,236000,92,9800
119,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2016-09,180000,110,12000
120,"Volkswagen Passat, 1.4 l., universalas",Automatinė,Benzinas / elektra,2016-12,185146,115,14200
121,"Volkswagen Passat, 1.4 l., universalas",Automatinė,Benzinas,2016-12,185146,115,14200
122,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2016-03,200000,140,12000
123,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2015-11,173435,176,16000
124,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas / elektra,2015-06,196257,115,14000
125,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2013-06,116300,90,5620
126,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2018-07,66024,92,17400
127,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2006-03,298427,88,3600
128,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2007-09,229000,77,3600
129,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2001-07,277000,96,1500
130,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2006-01,339419,77,3100
131,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2006-07,280000,103,3200
132,"Volkswagen Passat, 1.8 l., sedanas",Mechaninė,Benzinas,1997-07,222000,92,850
133,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2005-05,102000,77,3700
134,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2017-03,177000,140,12300
135,"Volkswagen Passat, 2.0 l., kupė (coupe)",Automatinė,Dyzelinas,2009-12,221000,125,6300
136,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Benzinas,2005-10,127000,110,2700
137,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2017-03,81227,110,17800
138,"Volkswagen Passat, 1.9 l., universalas",Automatinė,Dyzelinas,2002-01,240737,74,1400
139,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Dyzelinas,2016-09,176000,88,11590
140,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Benzinas,2018-01,58000,132,14200
141,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2017-06,105214,110,15950
142,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2017-06,95684,110,15950
143,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2017-06,105244,110,15950
144,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2017-06,101961,110,15950
145,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2010-09,246000,103,4300
146,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Benzinas,2006-04,308000,110,1500
147,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Dyzelinas,2005-09,297371,103,2450
148,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Dyzelinas,2006,379000,103,3000
149,"Volkswagen Passat, 1.8 l., universalas",Mechaninė,Benzinas,2008-03,202000,118,3350
150,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2016-05,230671,110,9200
151,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Benzinas,2002-03,194000,85,1700
152,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2007-10,241000,103,3450
153,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Benzinas,1998-01,160000,74,999
154,"Volkswagen Passat, 1.4 l., sedanas",Mechaninė,Benzinas,2015-03,70700,110,14699
155,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2018-07,26380,92,20500
156,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2012-03,281800,125,7990
157,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2018-07,67678,92,19699
158,"Volkswagen Passat, 1.6 l., universalas",Automatinė,Dyzelinas,2016-06,186000,88,10190
159,"Volkswagen Passat, 1.5 l., sedanas",Automatinė,Benzinas,2020-07,32500,110,24000
160,"Volkswagen Passat, 1.4 l., universalas",Automatinė,Benzinas,2017-08,46439,110,17000
161,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2018-07,82219,92,18900
162,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1997-09,244000,81,1599
163,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2002-05,328000,74,1250
164,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2002-08,294000,96,1100
165,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2000-07,345694,66,1000
166,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Benzinas,2002-11,212000,96,1400
167,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2007-12,190000,77,2300
168,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2007-05,365000,125,2500
169,"Volkswagen Passat, 1.4 l., universalas",Mechaninė,Benzinas / dujos,2011-08,100000,110,8800
170,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2008-04,260000,77,3200
171,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2001-08,0,96,1500
172,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Dyzelinas,2015-12,172220,88,8500
173,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2015-06,159000,103,12500
174,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2007,262000,125,2600
175,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2007-07,240000,77,2500
176,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2009-07,210000,103,3999
177,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2008-11,267896,77,3370
178,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2011-11,246127,125,7700
179,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-06,219800,103,3299
180,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2005-08,240000,103,3250
181,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Benzinas,2000,0,74,1000
182,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Benzinas,2001,0,85,950
183,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2000,0,85,850
184,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,1997,366500,66,700
185,"Volkswagen Passat, 1.8 l., universalas",Mechaninė,Benzinas,2001,299999,110,550
186,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1996,0,66,650
187,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Benzinas,1997,0,74,500
188,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Benzinas,1998,0,74,420
189,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1995,0,66,350
190,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2008-10,228200,103,2950
191,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2009-01,247000,103,3800
192,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2012-02,205178,130,5900
193,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Benzinas,1997-03,194350,74,1100
194,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2008-06,235000,103,3650
195,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2015-01,160000,110,12999
196,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Dyzelinas,2008-07,288500,103,5100
197,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2006-01,227000,77,2700
198,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2007-06,384000,103,2900
199,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,1998-08,322000,66,1000
200,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2008-07,212343,77,3750
201,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2007-08,219145,103,3550
202,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2008-09,204000,90,3800
203,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2014-12,168808,103,8500
204,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-04,278000,103,2150
205,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-01,240000,103,3400
206,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2012-03,290000,103,6980
207,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Dyzelinas,2018-02,169000,88,10850
208,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Dyzelinas,2011-10,253000,77,6300
209,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2000-07,273500,85,999
210,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2006-12,290000,103,4199
211,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2014-11,292000,110,11650
212,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Benzinas,2002-09,166000,85,1450
213,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2017-08,210500,110,11600
214,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2008-12,222000,81,2700
215,"Volkswagen Passat, 2.0 l., sedanas",Mechaninė,Benzinas,2002-12,105000,96,2900
216,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Dyzelinas,2017-07,168162,88,9500
217,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2015-04,272000,110,8500
218,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2001,410000,96,1400
219,"Volkswagen Passat, 1.8 l., sedanas",Automatinė,Benzinas,2011-07,173000,118,7990
220,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2007-06,289550,125,3050
221,"Volkswagen Passat, 1.8 l., universalas",Mechaninė,Benzinas / dujos,1999-04,280000,92,900
222,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Dyzelinas,2013-10,224000,77,6500
223,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2006-09,340000,103,2500
224,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2016-03,206324,140,13600
225,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2011-07,294000,103,6600
226,"Volkswagen Passat, 1.4 l., universalas",Automatinė,Benzinas,2017-05,112000,92,12300
227,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2017-04,88000,110,18200
228,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Benzinas,2003-09,245856,96,1300
229,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2008-05,260000,103,3400
230,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Benzinas,2006-09,190000,85,3100
231,"Volkswagen Passat, 2.0 l., sedanas",Automatinė,Dyzelinas,2018-12,3673,110,24900
232,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2006-11,171113,125,3390
233,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2007-07,268968,103,2899
234,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2006-02,228003,103,2950
235,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2009-05,218000,77,3350
236,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2007-05,226869,103,2999
237,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2006,253000,77,2350
238,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Benzinas,1995-10,333810,85,480
239,"Volkswagen Passat, 1.6 l., universalas",Automatinė,Dyzelinas,2016-11,217000,88,7200
240,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2010-10,322000,100,5300
241,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2005-04,255200,96,1650
242,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2006-11,328356,103,2950
243,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2002-06,280000,96,1350
244,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Benzinas,2005-06,221000,85,2950
245,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2008-10,330000,103,3200
246,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2007-08,332747,103,2500
247,"Volkswagen Passat, 1.4 l., sedanas",Automatinė,Benzinas,2017-04,97000,92,12300
248,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2013-07,318000,130,6700
249,"Volkswagen Passat, 1.9 l., universalas",Automatinė,Dyzelinas,2001-10,307850,96,1400
250,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Dyzelinas,2015-03,206958,88,11200
251,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Benzinas,2007-07,170000,75,4150
252,"Volkswagen Passat, 1.6 l., sedanas",Mechaninė,Dyzelinas,2016-08,176000,88,10900
253,"Volkswagen Passat, 1.9 l., universalas",Automatinė,Dyzelinas,2003-10,224000,96,2150
254,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2008,285123,77,2950
255,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,2002-09,265584,74,1199
256,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,1998-02,310500,81,1200
257,"Volkswagen Passat, 1.8 l., universalas",Mechaninė,Benzinas,2008-07,152577,118,4000
258,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,1997-05,415000,81,750
259,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2015-03,247000,110,12790
260,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2016-10,167085,176,18550
261,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,1995,418999,66,799
262,"Volkswagen Passat, 1.9 l., universalas",Mechaninė,Dyzelinas,1999-08,293581,81,1550
263,"Volkswagen Passat, 1.6 l., universalas",Mechaninė,Dyzelinas,2016-06,165000,88,8250
264,"Volkswagen Passat, 1.6 l., universalas",Automatinė,Dyzelinas,2015-11,231000,88,8600
265,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2015-09,192000,110,12500
266,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2009,250288,103,3150
267,"Volkswagen Passat, 1.8 l., universalas",Mechaninė,Benzinas,2005-05,210000,110,1950
268,"Volkswagen Passat, 1.9 l., sedanas",Mechaninė,Dyzelinas,2008-05,233000,77,3899
269,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2007-01,309487,103,2990
270,"Volkswagen Passat, 2.0 l., universalas",Mechaninė,Dyzelinas,2007-10,290000,125,2300
271,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2014-03,254200,103,8300
272,"Volkswagen Passat, 2.0 l., universalas",Automatinė,Dyzelinas,2015-11,126716,140,16550
